Username,Comment Time,Comment Content
%SuperMan(尾声67),19:12,男polo有吗
松枝清显(tb917834035),19:12,裤子
run坨坨(chao5309),19:13,别问，先去抢，这价格不抢就没看[-偷笑]
希慧权子(希慧权子),19:13,这么大
希慧权子(希慧权子),19:13,小码的有没有
tbNick_f9k7u(huande200588),19:13,多大的
tbNick_f9k7u(huande200588),19:14,太大了谢谢
抹茶巧克力冰淇淋(diana328225),19:14,几码？
爱吃三丝一果的冰沙04(qq2041419),19:14,衬衫什么码？
卡宝暖宝(cllcht),19:15,冠军收到了，穿着真的也很好看的
抹茶巧克力冰淇淋(diana328225),19:15,8码？
抹茶巧克力冰淇淋(diana328225),19:15,胸围多少
run坨坨(chao5309),19:15,包租婆卖过359
爱吃三丝一果的冰沙04(qq2041419),19:15,关注了主播
卡宝暖宝(cllcht),19:15,小码灰色卫衣冠军女孩子穿着也好看的
run坨坨(chao5309),19:16,包租婆卖过359
静夜听琴(静夜听琴fxy),19:17,后面淡蓝色是瑜伽裤吗，几码的想要
楚小花(楚小花cxh),19:17,有没有M？
run坨坨(chao5309),19:17,没了，来，过冠军吧
olay2020(laie_love),19:17,Lulu有吗
静夜听琴(静夜听琴fxy),19:17,要
静夜听琴(静夜听琴fxy),19:17,多少钱
olay2020(laie_love),19:17,这件我穿大了
卡宝暖宝(cllcht),19:17,没了
靠着树的叶子(yanhua_0221),19:17,瑜伽裤看看
哈基米(yiddy1),19:18,哈哈哈哈
霸气的粒子(tb1526733_2011),19:18,pull on裤子还有吗
抹茶巧克力冰淇淋(diana328225),19:18,还有啥露露
霸气的粒子(tb1526733_2011),19:18,pull on4码
爱吃三丝一果的冰沙04(qq2041419),19:18,几码？
静夜听琴(静夜听琴fxy),19:18,要
静夜听琴(静夜听琴fxy),19:19,瑜伽裤
爱吃三丝一果的冰沙04(qq2041419),19:19,裤子多少码？
YuenWing(yuenwingling),19:19,拉夫女士圆领短袖有吗
卡宝暖宝(cllcht),19:19,269
olay2020(laie_love),19:20,有4码吗？
霸气的粒子(tb1526733_2011),19:20,还有个什么罩罩
用户_24780568(cucucucucucu),19:20,男士卫衣找一下
用户_24780568(cucucucucucu),19:20,几码
用户_24780568(cucucucucucu),19:20,多钱
用户_24780568(cucucucucucu),19:20,没有加绒的有吗
run坨坨(chao5309),19:20,冠军你值得拥有
霸气的粒子(tb1526733_2011),19:20,还有什么罩罩
用户_24780568(cucucucucucu),19:20,xl胸围多少
毛爱丽丝(无法走出小清风的霸王花),19:20,裤子6码上吧
卡宝暖宝(cllcht),19:21,冠军性价比绝了
霸气的粒子(tb1526733_2011),19:21,还有什么罩罩
